Category,Difficulty,Question,Correct_Answer,Incorrect_Answer1,Incorrect_Answer2,Incorrect_Answer3,Verified
Sports,Medium,With which pick did the New England Patriots select Tom Brady in the 2000 NFL draft?,199,200,224,190,True
Sports,Medium,What is the nickname given to the last pick of the NFL Draft?,Mr. Irrelevant,The Squid,Last Chance Lance,The last pick of the draft...,True
Sports,Medium,BMX Racing was added as a sport to the Summer Olympics in which year?,2008,2004,1996,2016,True
History,Medium,In what year was the first Ford Model A produced?,1903,1899,1904,1901,True
History,Medium,What was the 8th Amendment to the United States Constitution?,Prohibits cruel and unusual punishments,Restricts quartering of soldier's in privately owned homes,Protects an individual's right to keep and bear arms,Prohibits unreasonable searches and seizures,True
Entertainment,Medium,Who was the first actor to play James Bond?,Sean Connery,Roger Moore,Pierce Brosnan,Steve McQueen,True
Science,Medium,How many moons does the planet Venus have?,0,2,4,8,True
Sports,Medium,Who was the very first UFC champion?,Royce Gracie,Tank Abbott,Ken Shamrock,Dan Severn,True
Sports,Medium,Which team has the most Super Bowl appearances?,New England Patriots,Pittsburgh Steelers,Dallas Cowboys,Green Bay Packers,True
Science,Medium,How many sides are on a heptagon?,7,9,6,4,True
Science,Medium,How long is the gestation period of a Hippopotamus?,8 months,11 months,5 months,1 year,True
Science,Medium,Who invented the battery?,Alessandro Volta,Nikola Tesla,Thomas Edison,Edward Duracell,True
General Knowledge,Medium,In what year did Mr. Beast first start uploading videos to Youtube?,2012,2010,2015,2014,True
Science,Medium,"What does ""URL"" stand for in technology?",Uniform Resource Locator,Unknown Registrant Library,Unsigned Read License,Unknown Render Library,True
General Knowledge,Medium,In what year was the card game Uno created?,1971,1984,1992,1977,True
Science,Medium,"How many zeroes (0) are there in a ""googol""?",100,"1,000",50,"1,000,000",True
Science,Medium,How many teeth do adults typically have?,32,24,40,48,True
General Knowledge,Medium,How much money does each player begin with in the game of Monopoly?,1500,1000,2000,2500,True
General Knowledge,Medium,How many points is a perfect hand in cribbage?,29,27,31,26,True
